Comment,Tag,clean_sentence,clean_data
একদম হালকা শীতের জন্য জ্যাকেটটি বেস্ট।  পড়ে আরাম আছে। অনেকদিন টিকবে। সেলাইও ভালো।আপনারা চাইলে নিতে পারেন ,2,একদম হালকা শীতের জন্য জ্যাকেটটি বেস্ট পড়ে আরাম আছে অনেকদিন টিকবে সেলাইও ভালোআপনারা চাইলে নিতে পারেন,একদম হালকা শীতের জ্যাকেটটি বেস্ট পড়ে আরাম অনেকদিন টিকবে সেলাইও ভালোআপনারা চাইলে
"দাম অনুযায়ী মোটামুটি ভালোই। প্রায় ৯দিন যাবৎ পড়তেছি, হালকা শীতের জন্য এটা পারফেক্ট।",2,দাম অনুযায়ী মোটামুটি ভালোই প্রায় দিন যাবৎ পড়তেছি হালকা শীতের জন্য এটা পারফেক্ট,দাম মোটামুটি ভালোই যাবৎ পড়তেছি হালকা শীতের পারফেক্ট
বিউটিফুল সুয়েটার। অনেক সুন্দর দেখতে। কালো কালার । সেইম কাপড় টা দেয়াতে অনেক খুশি ।,2,বিউটিফুল সুয়েটার অনেক সুন্দর দেখতে কালো কালার সেইম কাপড় টা দেয়াতে অনেক খুশি,বিউটিফুল সুয়েটার সুন্দর কালো কালার সেইম কাপড় টা দেয়াতে খুশি
ভাই জিনিস গুলো অনেক সুন্দর ছিল কাপড় গুলো অনেক ভালো সেলাই গুলো অনেক সুন্দর আপনারা সবাই কিনতে পারেন আর কিনে কেউ ঠকবেন না ,2,ভাই জিনিস গুলো অনেক সুন্দর ছিল কাপড় গুলো অনেক ভালো সেলাই গুলো অনেক সুন্দর আপনারা সবাই কিনতে পারেন আর কিনে কেউ ঠকবেন না,ভাই জিনিস গুলো সুন্দর কাপড় গুলো ভালো সেলাই গুলো সুন্দর আপনারা সবাই কিনতে কিনে ঠকবেন
দাম অনুযায়ী প্রোডাক্ট ভালো কিন্তু আমার কপাল খারাপ তাই এই দাগটা হাজার বার ধুয়ে  উঠানো বোধহয় আর সম্ভব হবে না,1,দাম অনুযায়ী প্রোডাক্ট ভালো কিন্তু আমার কপাল খারাপ তাই এই দাগটা হাজার বার ধুয়ে উঠানো বোধহয় আর সম্ভব হবে না,দাম প্রোডাক্ট ভালো কপাল খারাপ দাগটা ধুয়ে উঠানো বোধহয় সম্ভব
" আমি বলব ৩০০ টাকার হিসেবে জিনিসটা অনেক ভালো, কাপড়টা পাতলা হলেও পরে আরাম আছে  ।",2,আমি বলব  টাকার হিসেবে জিনিসটা অনেক ভালো কাপড়টা পাতলা হলেও পরে আরাম আছে,বলব টাকার হিসেবে জিনিসটা ভালো কাপড়টা পাতলা আরাম
কাপড়টা ভালো আছে কিন্তু পাতলা হালকা  শীতের জন্য ভালো! কিন্তু কাপড়ের দামটা অনেক বেশি আমার মনে হয় ,1,কাপড়টা ভালো আছে কিন্তু পাতলা হালকা শীতের জন্য ভালো কিন্তু কাপড়ের দামটা অনেক বেশি আমার মনে হয়,কাপড়টা ভালো পাতলা হালকা শীতের ভালো কাপড়ের দামটা
একেবারে বাজে একটি জ্যাকেট শরীরের সাথে ফিট হচ্ছে না এবং চেন টার অবস্থা একেবারে খারাপ টাকাগুলো সব নষ্ট হয়ে গেল ...,0,একেবারে বাজে একটি জ্যাকেট শরীরের সাথে ফিট হচ্ছে না এবং চেন টার অবস্থা একেবারে খারাপ টাকাগুলো সব নষ্ট হয়ে গেল,একেবারে বাজে জ্যাকেট শরীরের সাথে ফিট চেন টার অবস্থা একেবারে খারাপ টাকাগুলো নষ্ট
ধন্যবাদ সেলার কে প্রোডাক্টটি তাড়াতাড়ি দেওয়ার জন্য প্রোডাক্টটি যেরকম চাই সেরকম পাইছি খুব ভালো সবাই নিতে পারেন।,2,ধন্যবাদ সেলার কে প্রোডাক্টটি তাড়াতাড়ি দেওয়ার জন্য প্রোডাক্টটি যেরকম চাই সেরকম পাইছি খুব ভালো সবাই নিতে পারেন,ধন্যবাদ সেলার প্রোডাক্টটি তাড়াতাড়ি প্রোডাক্টটি যেরকম চাই সেরকম পাইছি ভালো সবাই
"দেখতে ছবির মতই মোটামুটি ভালো। আমি মনে করেছিলাম এটা মোটা  কাপড়ের  কিন্তু এইটা পাতলা তবে প্রচুর গরম ভিতরে এবং আরাম ধন্যবাদ দারাজ, ভাল একটা প্রডাক্টট দেয়ার জন্য।",2,দেখতে ছবির মতই মোটামুটি ভালো আমি মনে করেছিলাম এটা মোটা কাপড়ের কিন্তু এইটা পাতলা তবে প্রচুর গরম ভিতরে এবং আরাম ধন্যবাদ দারাজ ভাল একটা প্রডাক্টট দেয়ার জন্য,ছবির মতই মোটামুটি ভালো করেছিলাম মোটা কাপড়ের এইটা পাতলা প্রচুর গরম ভিতরে আরাম ধন্যবাদ দারাজ ভাল প্রডাক্টট দেয়ার
"খুবই সুন্দর ও অসাধারণ একটি জ্যাকেট ছবিতে যেমন টা দেখিয়েছে ঠিক তেমনটাই পেয়েছি,।আমার কাছে ভালো লেগেছে চাইলে আপনারা নিতে পারেন। ",2,খুবই সুন্দর ও অসাধারণ একটি জ্যাকেট ছবিতে যেমন টা দেখিয়েছে ঠিক তেমনটাই পেয়েছিআমার কাছে ভালো লেগেছে চাইলে আপনারা নিতে পারেন,সুন্দর অসাধারণ জ্যাকেট ছবিতে টা দেখিয়েছে তেমনটাই পেয়েছিআমার ভালো লেগেছে চাইলে আপনারা
দারাজ হল ফালতু  দেখাবে ভালো  জ্যাকেট কিন্তু  দিবে বাজে টা ।দয়া করে কেউ নিবেন না ঠোকবেন।দেখতে অনেক ভালো মনে হইছে কিন্তু হাতে নিয়ে দেখি পাতলা টি-শার্টের  মত।,0,দারাজ হল ফালতু দেখাবে ভালো জ্যাকেট কিন্তু দিবে বাজে টা দয়া করে কেউ নিবেন না ঠোকবেনদেখতে অনেক ভালো মনে হইছে কিন্তু হাতে নিয়ে দেখি পাতলা টি-শার্টের মত,দারাজ ফালতু দেখাবে ভালো জ্যাকেট দিবে বাজে টা দয়া নিবেন ঠোকবেনদেখতে ভালো হইছে হাতে দেখি পাতলা টি-শার্টের মত
"অনেক ভালো,, বাট পাতলা হালকা শীতের জন্য ঠিক যে কেউ নিতে পারেন,,যেমন চাইছি ঠিক তেমনটি পাইছি",2,অনেক ভালো বাট পাতলা হালকা শীতের জন্য ঠিক যে কেউ নিতে পারেনযেমন চাইছি ঠিক তেমনটি পাইছি,ভালো বাট পাতলা হালকা শীতের পারেনযেমন চাইছি তেমনটি পাইছি
"এই দামে এতো ভালো একটা প্রোডাক্ট  পাবো ভাবতেই পারিনাই, আর আপনারাও চাইলে নিতে পারেন আশাকরি ঠকবেন না",2,এই দামে এতো ভালো একটা প্রোডাক্ট পাবো ভাবতেই পারিনাই আর আপনারাও চাইলে নিতে পারেন আশাকরি ঠকবেন না,দামে এতো ভালো প্রোডাক্ট পাবো ভাবতেই পারিনাই আপনারাও চাইলে আশাকরি ঠকবেন
"একদম বাজে প্রোডাক্ট। লোকাল বাজারে এর মূল্য ২০০ টাকা ও হবে না,,, কিভাবে ১০০০টাকা এর মূল্য হতে পারে,  কেউ এই প্রোডাক্ট ক্রয় করবেন না,",0,একদম বাজে প্রোডাক্ট লোকাল বাজারে এর মূল্য  টাকা ও হবে না কিভাবে টাকা এর মূল্য হতে পারে কেউ এই প্রোডাক্ট ক্রয় করবেন না,একদম বাজে প্রোডাক্ট লোকাল বাজারে মূল্য টাকা টাকা মূল্য প্রোডাক্ট ক্রয়
চমৎকার জ্যাকেট। দামের তুলনায় অনেক ভালো লাগছে আমার কাছে।,2,চমৎকার জ্যাকেট দামের তুলনায় অনেক ভালো লাগছে আমার কাছে,চমৎকার জ্যাকেট দামের তুলনায় ভালো লাগছে
দাম হিসেবে জিনিসটা ভালো আছে। আপনারা চাইলে নিতে পারেন তবে আমি বাধ্য করতেছি না।,2,দাম হিসেবে জিনিসটা ভালো আছে আপনারা চাইলে নিতে পারেন তবে আমি বাধ্য করতেছি না,দাম হিসেবে জিনিসটা ভালো আপনারা চাইলে বাধ্য করতেছি
"কাপড় টা একটু পাতলা ,,কিন্তু দাম হিসাবে ভালোই আছে খারাপ নাহ,,,ধন্যবাদ",1,কাপড় টা একটু পাতলা কিন্তু দাম হিসাবে ভালোই আছে খারাপ নাহধন্যবাদ,কাপড় টা একটু পাতলা দাম ভালোই খারাপ নাহধন্যবাদ
ধন্যবাদ দারাজ কে..এতো কম টাকায় ভালো জ্যাকেট কিনার সুযোগ করে দেওয়ার জন্য.... যেমন চেয়েছি তেমনই পেয়েছি। ঢাকার শীতের জন্য পারফেক্ট জ্যাকেট..,2,ধন্যবাদ দারাজ কেএতো কম টাকায় ভালো জ্যাকেট কিনার সুযোগ করে দেওয়ার জন্য যেমন চেয়েছি তেমনই পেয়েছি ঢাকার শীতের জন্য পারফেক্ট জ্যাকেট,ধন্যবাদ দারাজ কেএতো কম টাকায় ভালো জ্যাকেট কিনার সুযোগ দেওয়ার চেয়েছি তেমনই পেয়েছি ঢাকার শীতের পারফেক্ট জ্যাকেট
কাপড় টা ভাল ছিল।কিন্তু খুব পাতলা।আরেক টু মোটা দেওয়া দরকার ছিল। পকেট ছিড়া ছিল। দেখে শুনে পাঠানো উচিত ছিল।,1,কাপড় টা ভাল ছিলকিন্তু খুব পাতলাআরেক টু মোটা দেওয়া দরকার ছিল পকেট ছিড়া ছিল দেখে শুনে পাঠানো উচিত ছিল,কাপড় টা ভাল ছিলকিন্তু পাতলাআরেক টু মোটা দরকার পকেট ছিড়া শুনে পাঠানো
দাম হিসাবে ঠিকই আছে। কালার এবং কাপড় সেটাও ঠিক আছে। আপনি চাইলে অর্ডার করতে পারেন। ,2,দাম হিসাবে ঠিকই আছে কালার এবং কাপড় সেটাও ঠিক আছে আপনি চাইলে অর্ডার করতে পারেন,দাম ঠিকই কালার কাপড় চাইলে অর্ডার
যেমনটা অর্ডার করছি তেমনটাই  পাইছি অবশ্যই প্রোডাক্ট টা ভালো আর কাপড় টাও মোটামুটি ভালোই নিতে পারেন সবাই আশা করি ঠকবেন না ,2,যেমনটা অর্ডার করছি তেমনটাই পাইছি অবশ্যই প্রোডাক্ট টা ভালো আর কাপড় টাও মোটামুটি ভালোই নিতে পারেন সবাই আশা করি ঠকবেন না,যেমনটা অর্ডার করছি তেমনটাই পাইছি অবশ্যই প্রোডাক্ট টা ভালো কাপড় টাও মোটামুটি ভালোই সবাই আশা ঠকবেন
১০০% একুরেট পেয়েছি বলা যায়। দেখতে অনেক সুন্দর ঠিক পরতেও আরাম। দামের তুলনায় অনেক কোয়ালিটিপূর্ণ জ্যাকেট ছিল। দারাজকে অনেক অনেক ধন্যবাদ। এই  দামে পেয়ে অনেক খুশি ।,2,একুরেট পেয়েছি বলা যায় দেখতে অনেক সুন্দর ঠিক পরতেও আরাম দামের তুলনায় অনেক কোয়ালিটিপূর্ণ জ্যাকেট ছিল দারাজকে অনেক অনেক ধন্যবাদ এই দামে পেয়ে অনেক খুশি,একুরেট পেয়েছি সুন্দর পরতেও আরাম দামের তুলনায় কোয়ালিটিপূর্ণ জ্যাকেট দারাজকে ধন্যবাদ দামে পেয়ে খুশি
"দাম অনুযায়ী প্রোডাক্ট ঠিক আছে। কোন সমস্যা নেই, সবকিছু ঠিকঠাক মত পেয়েছি। ধন্যবাদ দারাজ এবং সেলার।",2,দাম অনুযায়ী প্রোডাক্ট ঠিক আছে কোন সমস্যা নেই সবকিছু ঠিকঠাক মত পেয়েছি ধন্যবাদ দারাজ এবং সেলার,দাম প্রোডাক্ট সমস্যা সবকিছু ঠিকঠাক মত পেয়েছি ধন্যবাদ দারাজ সেলার
আপনার যদি বাজেট কম হয় এবং হালকা শীতের জন্য নিতে চান তাহলে আমি শতভাগ গ্যারান্টি দিবো নেওয়ার জন্য।,2,আপনার যদি বাজেট কম হয় এবং হালকা শীতের জন্য নিতে চান তাহলে আমি শতভাগ গ্যারান্টি দিবো নেওয়ার জন্য,বাজেট কম হালকা শীতের শতভাগ গ্যারান্টি দিবো নেওয়ার
অসাধারণ একটি প্রোডাক্ট। এই দামে স্টাইলিশ ও হালকা শীত নিবারণের জন্য পারফেক্ট। ধন্যবাদ ,2,অসাধারণ একটি প্রোডাক্ট এই দামে স্টাইলিশ ও হালকা শীত নিবারণের জন্য পারফেক্ট ধন্যবাদ,অসাধারণ প্রোডাক্ট দামে স্টাইলিশ হালকা শীত নিবারণের পারফেক্ট ধন্যবাদ
কাপড়টি একটু যদিও পাতলা তবুও দামের তুলনায় জিনিসটি অনেক ভালো।,2,কাপড়টি একটু যদিও পাতলা তবুও দামের তুলনায় জিনিসটি অনেক ভালো,কাপড়টি একটু পাতলা তবুও দামের তুলনায় জিনিসটি ভালো
"গুনগত মানের দিক থেকে পন্যটি অনেক অনেক ভালো পাইছি। কাটিং, সেলাই , কাপড় , রঙ, ফিটিং,কোনো  দিকেই কোনো প্রবলেম পাই নি। দামের দিক থেকে খুবই ভালো। ",2,গুনগত মানের দিক থেকে পন্যটি অনেক অনেক ভালো পাইছি কাটিং সেলাই কাপড় রঙ ফিটিংকোনো দিকেই কোনো প্রবলেম পাই নি দামের দিক থেকে খুবই ভালো,গুনগত মানের দিক পন্যটি ভালো পাইছি কাটিং সেলাই কাপড় রঙ ফিটিংকোনো দিকেই প্রবলেম পাই নি দামের দিক ভালো
হালকা শীতের জন্য জ্যাকেটটি খারাপ না আমি গতকালকে জ্যাকেটটি ডেলিভারি পেয়েছি ধন্যবাদ দারাজ ,2,হালকা শীতের জন্য জ্যাকেটটি খারাপ না আমি গতকালকে জ্যাকেটটি ডেলিভারি পেয়েছি ধন্যবাদ দারাজ,হালকা শীতের জ্যাকেটটি খারাপ গতকালকে জ্যাকেটটি ডেলিভারি পেয়েছি ধন্যবাদ দারাজ
"পোশাকটা বেশ ভালো যে রকম চেয়েছি ঠিক সেরকমই পেয়েছি। ধন্যবাদ দারাজ, ধন্যবাদ সেলার।",2,পোশাকটা বেশ ভালো যে রকম চেয়েছি ঠিক সেরকমই পেয়েছি ধন্যবাদ দারাজ ধন্যবাদ সেলার,পোশাকটা ভালো চেয়েছি সেরকমই পেয়েছি ধন্যবাদ দারাজ ধন্যবাদ সেলার
আলহামদুলিল্লাহ ভালো পেয়েছি ছবির সাথে মিল আছে,2,আলহামদুলিল্লাহ ভালো পেয়েছি ছবির সাথে মিল আছে,আলহামদুলিল্লাহ ভালো পেয়েছি ছবির সাথে মিল
খুবই সুন্দর একটি জ্যাকেট প্রত্যাশার চেয়েও প্রাপ্তি টা বেশি পেয়েছি। দামের তুলনায় মাল ভালো। কম দামে এমন জ্যাকেট পাওয়া প্রায় অসম্ভব। ধন্যবাদ দারাজ ,2,খুবই সুন্দর একটি জ্যাকেট প্রত্যাশার চেয়েও প্রাপ্তি টা বেশি পেয়েছি দামের তুলনায় মাল ভালো কম দামে এমন জ্যাকেট পাওয়া প্রায় অসম্ভব ধন্যবাদ দারাজ,সুন্দর জ্যাকেট প্রত্যাশার চেয়েও প্রাপ্তি টা পেয়েছি দামের তুলনায় মাল ভালো কম দামে জ্যাকেট পাওয়া অসম্ভব ধন্যবাদ দারাজ
"পণ্য ভালো,,যেমন দেখা তেমনি,, কিন্তু কাপড়টা একটু পাতলা টাইপের,,প্যাকেজিং এতোটা  ভালো ছিলো না,",1,পণ্য ভালোযেমন দেখা তেমনি কিন্তু কাপড়টা একটু পাতলা টাইপেরপ্যাকেজিং এতোটা ভালো ছিলো না,পণ্য ভালোযেমন তেমনি কাপড়টা একটু পাতলা টাইপেরপ্যাকেজিং এতোটা ভালো ছিলো
"আপনাদের অনেক অনেক ধন্যবাদ, সময় মতো পণ্য হাতে পেয়ে, এবং সঠিক পণ্য সঠিকভাবে পেয়ে আমি অনেক খুশি,ইনশাআল্লাহ আমি আবার পণ্য অর্ডার করবো।",2,আপনাদের অনেক অনেক ধন্যবাদ সময় মতো পণ্য হাতে পেয়ে এবং সঠিক পণ্য সঠিকভাবে পেয়ে আমি অনেক খুশিইনশাআল্লাহ আমি আবার পণ্য অর্ডার করবো,আপনাদের ধন্যবাদ সময় পণ্য হাতে পেয়ে সঠিক পণ্য সঠিকভাবে পেয়ে খুশিইনশাআল্লাহ পণ্য অর্ডার করবো
আশা অনুরূপ প্রোডাক্টটা হাতে পেয়েছি যেমনটা ছবিতে দেওয়া ছিল একদম সেইম  আর এই দামের মধ্যে এটা আমার কাছে বেস্ট বলে মনে হয়েছে। ,2,আশা অনুরূপ প্রোডাক্টটা হাতে পেয়েছি যেমনটা ছবিতে দেওয়া ছিল একদম সেইম আর এই দামের মধ্যে এটা আমার কাছে বেস্ট বলে মনে হয়েছে,আশা অনুরূপ প্রোডাক্টটা হাতে পেয়েছি যেমনটা ছবিতে একদম সেইম দামের বেস্ট
"স্যার আপনাদের অনেক অনেক ধন্যবাদ, সঠিক সময়ে সঠিক পণ্য দেওয়ার জন্য। ",2,স্যার আপনাদের অনেক অনেক ধন্যবাদ সঠিক সময়ে সঠিক পণ্য দেওয়ার জন্য,স্যার আপনাদের ধন্যবাদ সঠিক সময়ে সঠিক পণ্য দেওয়ার
"যেমন ভেবেছি তেমনই পেয়েছি, তবে ছবিতে আরোও বেশি সুন্দর দেখাচ্ছিল  , আমি খুশি , ধন্যবাদ, সেলার অনেক ভালো। ",2,যেমন ভেবেছি তেমনই পেয়েছি তবে ছবিতে আরোও বেশি সুন্দর দেখাচ্ছিল আমি খুশি ধন্যবাদ সেলার অনেক ভালো,ভেবেছি তেমনই পেয়েছি ছবিতে আরোও সুন্দর দেখাচ্ছিল খুশি ধন্যবাদ সেলার ভালো
"যে কালার চেয়েছিলাম, সেটা পাইনি। দেখতে  খুব বাজে দেখায়। দয়া  করে এরপর থেকে ভালো প্রোডাক্ট দিবেন ",0,যে কালার চেয়েছিলাম সেটা পাইনি দেখতে খুব বাজে দেখায় দয়া করে এরপর থেকে ভালো প্রোডাক্ট দিবেন,কালার চেয়েছিলাম পাইনি বাজে দেখায় দয়া এরপর ভালো প্রোডাক্ট দিবেন
"আলহামদুলিল্লাহ যেরকম চেয়েছিলাম সেরকমই পেয়েছি, একটু চিন্তাই  ছিলাম তবে ভালো প্রোডাক্ট পেয়েছি",2,আলহামদুলিল্লাহ যেরকম চেয়েছিলাম সেরকমই পেয়েছি একটু চিন্তাই ছিলাম তবে ভালো প্রোডাক্ট পেয়েছি,আলহামদুলিল্লাহ যেরকম চেয়েছিলাম সেরকমই পেয়েছি একটু চিন্তাই ছিলাম ভালো প্রোডাক্ট পেয়েছি
"প্রত্যাশা থেকে অনেক বেশি পেয়েছি, সব কিছু মিলিয়ে অনেক ভালো লাগছে অসংখ্য ধন্যবাদ",2,প্রত্যাশা থেকে অনেক বেশি পেয়েছি সব কিছু মিলিয়ে অনেক ভালো লাগছে অসংখ্য ধন্যবাদ,প্রত্যাশা পেয়েছি মিলিয়ে ভালো লাগছে অসংখ্য ধন্যবাদ
অনেক আশা করে অর্ডার দিলাম দাম এর চেয়ে পন্যটা অনেক খারাপ,0,অনেক আশা করে অর্ডার দিলাম দাম এর চেয়ে পন্যটা অনেক খারাপ,আশা অর্ডার দিলাম দাম পন্যটা খারাপ
অর্ডার করছি XL সাইজ  সে আমাকে দিছে L সাইজ।  আরে ভাই সাইজ না থাকে অর্ডার নিবেন না।  শুধু শুধু হয়রানি  করবেন না ,0,অর্ডার করছি XL সাইজ সে আমাকে দিছে L সাইজ আরে ভাই সাইজ না থাকে অর্ডার নিবেন না শুধু শুধু হয়রানি করবেন না,অর্ডার করছি XL সাইজ দিছে L সাইজ আরে ভাই সাইজ অর্ডার নিবেন হয়রানি
প্রোডাক্ট অর্ডার করলাম কিন্তু পাইলাম না। আবার মোবাইলে মেসেজ আসল ডেলেভারী হয়ে গেছে কিছুই বুঝলাম না।,0,প্রোডাক্ট অর্ডার করলাম কিন্তু পাইলাম না আবার মোবাইলে মেসেজ আসল ডেলেভারী হয়ে গেছে কিছুই বুঝলাম না,প্রোডাক্ট অর্ডার করলাম পাইলাম মোবাইলে মেসেজ আসল ডেলেভারী হয়ে বুঝলাম
জ্যাকেটের প্রিন্ট এবং কালার কোনোটাই ভালো না।  আপনারা কেউ কিনবেন না ,0,জ্যাকেটের প্রিন্ট এবং কালার কোনোটাই ভালো না আপনারা কেউ কিনবেন না,জ্যাকেটের প্রিন্ট কালার কোনোটাই ভালো আপনারা কিনবেন
এতোটাও আাশা করি নাই মোটামোটি ভাল আছে সেলার খুবই আন্তরিক ছিল,2,এতোটাও আাশা করি নাই মোটামোটি ভাল আছে সেলার খুবই আন্তরিক ছিল,এতোটাও আাশা মোটামোটি ভাল সেলার আন্তরিক
আমি যেমন কালার চাইছি ঠিক তেমনটি পাইছি।সেলার  অনেক ধন‍্যবাদ। অনেক ভালো মানের পন‍্য।,2,আমি যেমন কালার চাইছি ঠিক তেমনটি পাইছিসেলার অনেক ধন‍্যবাদ অনেক ভালো মানের পন‍্য,কালার চাইছি তেমনটি পাইছিসেলার ধন‍্যবাদ ভালো মানের পন‍্য
আপনাদের কাছে চাইলাম রাজরানী আর আপনারা আমাকে পাঠিয়েছেন চুদমারানী এর মানে  বুঝলাম না । দারাজ তো অসাধু ব্যবসায়ীদের আতুর ঘর হয়ে গেছে। ,0,আপনাদের কাছে চাইলাম রাজরানী আর আপনারা আমাকে পাঠিয়েছেন চুদমারানী এর মানে বুঝলাম না দারাজ তো অসাধু ব্যবসায়ীদের আতুর ঘর হয়ে গেছে,আপনাদের চাইলাম রাজরানী আপনারা পাঠিয়েছেন চুদমারানী মানে বুঝলাম দারাজ অসাধু ব্যবসায়ীদের আতুর ঘর হয়ে
"অর্ডার  ছিলো আর্মি-M টি-শার্ট ২টা, পাইছি ১টা কালার ভিন্ন , আর একটা পাবো কবে? টাকাটা ফেরত দেন। ",0,অর্ডার ছিলো আর্মি-M টি-শার্ট টা পাইছি টা কালার ভিন্ন আর একটা পাবো কবে টাকাটা ফেরত দেন,অর্ডার ছিলো আর্মি-M টি-শার্ট টা পাইছি টা কালার ভিন্ন পাবো টাকাটা ফেরত
অসাধারণ দেখতে।  খুবই সুন্দর যেমন দেখেছি ছবিতে ঠিক তেমনটি পেয়েছি। আপনারাও নিতে পারেন। ২দিনের মধ্যেই পেয়েছি।। সঠিক জিনিস দেওয়ার জন্য সেলার ভাইকে ধন্যবাদ,2,অসাধারণ দেখতে খুবই সুন্দর যেমন দেখেছি ছবিতে ঠিক তেমনটি পেয়েছি আপনারাও নিতে পারেন দিনের মধ্যেই পেয়েছি সঠিক জিনিস দেওয়ার জন্য সেলার ভাইকে ধন্যবাদ,অসাধারণ সুন্দর দেখেছি ছবিতে তেমনটি পেয়েছি আপনারাও দিনের পেয়েছি সঠিক জিনিস দেওয়ার সেলার ভাইকে ধন্যবাদ
"আপনাদের শার্ট আপনাদের পুটকিতে ডুকিয়ে দেবো,, নাটক শুরু করে দিছেন,আমার টাকা ফেরত দেন  ",0,আপনাদের শার্ট আপনাদের পুটকিতে ডুকিয়ে দেবো নাটক শুরু করে দিছেনআমার টাকা ফেরত দেন,আপনাদের শার্ট আপনাদের পুটকিতে ডুকিয়ে দেবো নাটক দিছেনআমার টাকা ফেরত
দারাজ থেকে অনেক জিনিস কিনেছি কিন্তু কখনো এমন হয়নি।কিনলাম এক জিনিস দিলো আরেক জিনিস। কালার সম্পূর্ণ ভিন্ন।,0,দারাজ থেকে অনেক জিনিস কিনেছি কিন্তু কখনো এমন হয়নিকিনলাম এক জিনিস দিলো আরেক জিনিস কালার সম্পূর্ণ ভিন্ন,দারাজ জিনিস কিনেছি কখনো হয়নিকিনলাম এক জিনিস দিলো আরেক জিনিস কালার সম্পূর্ণ ভিন্ন
অনেক সুন্দর পন্য। শুধু কাপড়টা একটু মোটা। M সাইজ এর অর্ডার দিছিলাম একদম গায়ে ফিট হয়ে গেছে আলাদা ভাবে ফিটিং করতে হয়নি ,2,অনেক সুন্দর পন্য শুধু কাপড়টা একটু মোটা M সাইজ এর অর্ডার দিছিলাম একদম গায়ে ফিট হয়ে গেছে আলাদা ভাবে ফিটিং করতে হয়নি,সুন্দর পন্য কাপড়টা একটু মোটা M সাইজ অর্ডার দিছিলাম একদম গায়ে ফিট হয়ে আলাদা ফিটিং হয়নি
"চাইছি আর্মি কালারের শার্ট  পাঠিয়েছেন এটা কি কালার , চোখ কি আসমানে থাকে। চোখের চিকিৎসা করান, ফালতু কোথাকার",0,চাইছি আর্মি কালারের শার্ট পাঠিয়েছেন এটা কি কালার চোখ কি আসমানে থাকে চোখের চিকিৎসা করান ফালতু কোথাকার,চাইছি আর্মি কালারের শার্ট পাঠিয়েছেন কালার চোখ আসমানে চোখের চিকিৎসা করান ফালতু কোথাকার
"চোদানির  পোলারা বাটপারি করতে ব্যবসা করে। অর্ডার দিছি  একটা দিছে  আর একটা, তাও আবার পুরানো । ",0,চোদানির পোলারা বাটপারি করতে ব্যবসা করে অর্ডার দিছি একটা দিছে আর একটা তাও আবার পুরানো,চোদানির পোলারা বাটপারি ব্যবসা অর্ডার দিছি দিছে পুরানো
আমি অর্ডার করছিলাম M সাইজ আমাকে দেয়া হয়েছে XL এর আগে আলাদা একটা শার্ট পাঠাইছিলো ফেরত পাঠাইছি পরবর্তী তে তো ঠিক দিতে পারতেন,0,আমি অর্ডার করছিলাম M সাইজ আমাকে দেয়া হয়েছে XL এর আগে আলাদা একটা শার্ট পাঠাইছিলো ফেরত পাঠাইছি পরবর্তী তে তো ঠিক দিতে পারতেন,অর্ডার করছিলাম M সাইজ দেয়া হয়েছে XL আলাদা শার্ট পাঠাইছিলো ফেরত পাঠাইছি পরবর্তী তে পারতেন
দয়া করে কেউ নিবেন না. সেলার ভাই এগুলো করবেন না. দিলে ভালো প্রোডাক্ট দিবেন ,0,দয়া করে কেউ নিবেন না সেলার ভাই এগুলো করবেন না দিলে ভালো প্রোডাক্ট দিবেন,দয়া নিবেন সেলার ভাই দিলে ভালো প্রোডাক্ট দিবেন
অর্ডার করেছিলাম XL সাইজ।  আমাকে পাঠিয়েছে M সাইজ। সেলার কে বলার পরেও কোন উত্তর পাইনি। আমি রিটার্ন করে দিবো,0,অর্ডার করেছিলাম XL সাইজ আমাকে পাঠিয়েছে M সাইজ সেলার কে বলার পরেও কোন উত্তর পাইনি আমি রিটার্ন করে দিবো,অর্ডার করেছিলাম XL সাইজ পাঠিয়েছে M সাইজ সেলার বলার পাইনি রিটার্ন দিবো
দারাজের মতো।  এত পচা কোম্পানি আমি আর কখনোই দেখি নাই . চেয়েছিলাম এমসাইজ দিয়েছে Lসাইজ। দারাজ থেকে কেও কিছু কিনবেন না ,0,দারাজের মতো এত পচা কোম্পানি আমি আর কখনোই দেখি নাই চেয়েছিলাম এমসাইজ দিয়েছে Lসাইজ দারাজ থেকে কেও কিছু কিনবেন না,দারাজের পচা কোম্পানি কখনোই দেখি চেয়েছিলাম এমসাইজ Lসাইজ দারাজ কেও কিনবেন
"বাটপার, অর্ডার দিয়েছি কি আর ডেলিভারিতে দিয়েছন কি??? যেটা অর্ডার দিয়েছি সেটা বদলাইয়া দিয়ে যান",0,বাটপার অর্ডার দিয়েছি কি আর ডেলিভারিতে দিয়েছন কি যেটা অর্ডার দিয়েছি সেটা বদলাইয়া দিয়ে যান,বাটপার অর্ডার দিয়েছি ডেলিভারিতে দিয়েছন অর্ডার দিয়েছি বদলাইয়া দিয়ে
হালা মাদারচুদ শার্ট  এটা চাইছি আমি দেখাস একটা দেস আর একটা,0,হালা মাদারচুদ শার্ট এটা চাইছি আমি দেখাস একটা দেস আর একটা,হালা মাদারচুদ শার্ট চাইছি দেখাস দেস
