Name,Comment,Tag
Nazmul,ঠিক যেমন চেয়েছি তেমনি পেয়েছি। পণ্যটি অনেক ভালো। আপনারাও নিতে পারেন ধন্যবাদ সেলর কে,Positive
Ainul I.,দাম অনুযায়ী কাপড়ের মান এতটা ভাল না। পিকে লাল ছিল আনার পর কেমন জানি ফ্যকাসে ছিল। প্যাকিং কোয়ালিটি আর সেলার রেসপন্স ভাল ছিল।,Neutral
Ashiq,"কথা ও কাজে মিল আছে, তবে দুঃখের বিষয় হলো আমি যেটা ভেবেছিলাম সেটা নয়,লোকাল গার্মেন্টস এর পণ্য এটা,ডেলিভারি বয়কে অসংখ্য ধন্যবাদ",Neutral
Pappu C.,আলহামদুলিল্লাহ গেঞ্জিটি অনেক অনেক সুন্দর সেইম টু সেইম দিয়েছে। সেলারের ব্যবহার অনেক ভালো। ধন্যবাদ দারাজকে।,Positive
TANJILA A.,এই ডিজাইনের  গেঞ্জি গুলো খুব ভালো । কোয়ালিটি দাম অনুযায়ী সন্তুষ্ট। সবাই নিতে পারে একদিন এর মধ্যে শিফট  হয়ে গেছে। সেলার দারুণ।,Positive
omar F.,"চাইলাম  কি সাইজ, দিলেন কি সাইজ।অর্ডার  করেছিলাম  XL পাঠাইলেন L.দারাজ যদি অর্ডার  কনফার্ম করতে না পারেন, তাহলে জনগনকে কেন কষ্ট দিচ্ছেন।",Negative
Sohel R.,দারাজ থেকে এর আগে ৪ বার পন্য নিয়ে ঠকলেও এবারে রিভিও দেখে একসাথেই ৩ টি পন্য যেরকম চেয়েছিলাম সেই রকম পেয়েছি। ধন্যবাদ দারাজ,Neutral
Alive R.,অনেক সুন্দর একটা টি শার্ট পারফেক্ট বডি ফিটিংস।দুইশত টাকার মধ্যে অনেক ভালো মানের। ধন্যবাদ দারাজ  শপিং মল কে,Positive
Adv.Anamul H,"এক ধোয়াতেই রং উঠে গেলো, সেলার সালারা মনে হয় কারো জারজ  সন্তান না হইলে এই সব জিনিস বিক্রি করে না বোন থাকলে তাদের গালি শুনাইতো না।",Negative
Kabir A.,এই শালা টাকা দিয়া জিনিস  নেয়া হয়ে আর এটা হারামের টাকা না কষ্ট  করে টাকা আয় করতে হয়ে শালা বদমাইশ মানুষকে ঠকবাজ করে একটা জিনিস  ধরিয়ে দেওয়া হয়ে এটা কি ব্যবসা ,Negative
Asadullah S.,খুবই সুন্দর পড়ে অনেক মজা পাচ্ছি স্টক শেষ হবার আগে আবার নিতে চাই ।প্রিন্ট সুন্দর হইছে কাপড়  এবং কোয়ালিটি অনেক ভালো,Positive
Nizam,মোটামুটি ভালো তবে কাপড়ের মান নরমাল তবে সহজ ডেলিভারি হাতে পাইলাম ধন্যবাদ দারাজ কে সাথে সেলারকেও,Positive
জীবন ট,গেঞ্জিটা নিয়েছিলাম কিন্তু ভাল হইল না এক ধোয়াতেই  রং উঠে গেছে দারাজ থেকে এ রকম পণ্য  আমি আশা করি নাই একবারে বাজে গেঞ্জি,Negative
Emon H.,"মোটেই ভালো না একদম ফালতু,কালার চাইছি যেটা  সেটা দেন নাই ,,কাপড় এর মান ও ভালো না। এক কথায় পুরাই ধান্দাবাজি",Negative
Rasel H,একটা বাজে ফালতু গেঞ্জি  ১ধোয়াতে সব শেষ দারাজকে বলবো এধরনের ফালতু জিনিস মানুষকে দিয়ে ধোকা দিবেননা।ছবিতে যা দেখাইছে পুরোটাই ধোকা।,Negative
habib R.,একদম বাজে একটা টিশার্ট দিয়েছেন যা আপনাদের কাছথেকে আশা করিনাই আমি আপনাদের নিয়মিত একজন কাস্টমার ছিলাম এবং অন্যদেরকেও বলতাম এখন থেকে আর না গুডবাই দারাজ,Negative
SHEKH M.,টি-শার্টটি সবকিছুই ঠিক ছিলো । কিন্তু কালার টা ফোনে ডিপ দেখাচ্ছিল বাস্তবে হালকা। তবে ঘড়ি টা যেমন চেয়েছিলাম তেমন পেয়েছি।,Neutral
Nasir U.,প্রথমবার ধোয়ার পর এই রং উঠে গেছে এবং লাল অংশটা সাদা হয়ে গেছে দ্বিতীয় বার পরার মত অবস্থা ছিল না খুব বাজে অবস্থা।,Negative
MOHAMMAD,"যা আশা করেছিলাম তার চেয়েও সুন্দর ধন্যবাদ দারাজ শপিংমলকে, সময়মতো ডেলিভারি পেয়েছি, সামনে আরও চমৎকার প্রোডাক্ট পাব আশা করছি।",Positive
dmitry,"অনলাইনে কোন কিছু কিনতাম না, আপনাদের প্রোডাক্ট ও অন্যান্য রিভিউ দেখে একটা টি শার্ট নিলাম। টি শার্টটি মনে হয় যেন পুরাতন। যাক তবুও পড়লাম। কিন্তু পড়ে দেখি টিশার্টটি কাঁধ বরাবর ছেড়া ।  আর আমার প্রোডাক্টি কি করবো, ছেড়া  টি-শার্ট, ",Negative
Ismail E,এত নিম্নমানের গেঞ্জি দিয়েছেন যা দুই ধোয়ায়  রং উঠে গেছে আপনাদের কে গালি দিল গালি কে অপমান করা হবে তাই গালি না দিয়ে সতর্ক করলাম এই ধরণের  নিম্নমানের পণ্য দিয়ে বাটপারি ব্যবসা বন্ধ করে দিন। ,Negative
Jahid 0.,সাইজ অর্ডার করেছি M ডেলিভারি দিছে বাচ্চা সাইজ !! ডিসকাঊন্ট এর নামে চিটিংবাজি!! ,Negative
Hafiz U,আগে অর্ডার করলে যেখানে এড্রেস  দেওয়া আছে ওখানেই মাল দিত কিন্তু এখন দেইনা।  কোন কিছু অর্ডার করবো না কখনো।,Negative
Dip H,বাস্তবের থেকে ছবিতে বেশি চাকচিক্ক লাগছে।তবে প্রোডাক্টটা ভালই এখন ব্যবহার ও ধোঁয়া দিলে বুঝতে পারবো বাকি টুকু.........,Neutral
Ruhul,"এই গেঞ্জিটা পিছন সাইডে সামান্য একটু ছিদ্র পেয়েছি, চেক  করে কাস্টমারকে ডেলিভারি দেওয়া ভালো, এটা কাজটা করে আস্থা নষ্ট হয়",Neutral
Radi K,"চেয়েছিলাম নেভি এবং লাল  কালার , কিন্তু পাঠিয়েছেন হলুদ  কালার। অসুবিধা নাই পড়া যাবে। কোয়ালিটি মোটামুটি ভালো।",Neutral
MD.Naimul I,ডেলিভার ম্যান  অনেক ভালো ছিলো। আশা করছি ভবিষ্যতে  প্রফেশনাল কোয়ালিটি ধরে রাখবেন।ধন্যবাদ দারাজ ,Positive
Hafizur R,ছবিগুলো ন্যাচারাল দিবেন।এডিট না করে ছবিগুলো পোষ্ট করবেন।দেখানো এক রকম দেন অন্য রকম।,Neutral
Khan A.,"অনেক ভালো এবং এই গরমের জন্য খুব আরামদায়ক এই টি শার্ট টি সেইম কালার আপনারা সবাই নিতে পারেন,",Positive
Zahidul N.,"ডেলিভারি খুব স্লো,,,দাম অনুযায়ী মোটামুটি ভাল। বাট সেলাই ছিড়া ও সেলাইয়ের কোয়ালিটি ভাল না।",Negative
Rahe R,"আমার কাকার  জন্য কিনেছিলাম উনার  পছন্দ হয়নি, অতঃপর উনি গরিব মানুষকে   দান করে দিয়েছেন....",Negative
Jabir 5,খুব ভালো ছিল পণ্যটা।যতটা আশা করেছিলাম তার চেয়েও ভালো।একেবারে ই নতুন।ব্রান্ড স্টিকারসহ।,Positive
Sikha P.,"প্রথমে নিয়েছিলাম ভালো খুবই ভালো, আপনারা দেখছি রিভিউ না নিয়ে ছাড়বেন না এটা ভালোই ছিল।",Positive
shovon,যেমন চেয়ে ছিলাম তেমনিভাবে পেয়েছি কিন্তু কাপড়ের মান ভালো না ধন্যবাদ দারাজ কোম্পানিকে ,Neutral
Jamal H,যেমনটা ভেবে ছিলাম তেমনটা পাইনি দারাজের কাছে অনুরোধ  পণ্য গুলো চেক করে দেওয়ার জন্য,Negative
MAHAMUD,"বাজে গেঞ্জি  দিছে রং ওঠে গেছে ধোয়ার সাথে সাথে,এক কথায় বাজে গেঞ্জি  দিছে কেউ নিবেন না",Negative
Ripon H.,টি-শার্টটি  ভালো ফিটিং হয়েছে। প্রাইজের  মধ্যে জিনিসটা ঠিকঠাক ছিল,Positive
Md.Mosharaf H.,"সব ঠিক আছে কিন্তু টিশার্ট এর মধ্যে কয়েকটা ছোট ছোট ছিদ্র ছিলো, যা আশা করি নাই।",Negative
Kamal H,অনেক ভালো একটা টি শার্ট কিন্তু ডেলিভারি টা একটু খারাপ অনেক দিন সময় লাগে,Neutral
MdAkash,আমি নতুন জয়েন্ট করে অনেক কিছু কিনলাম আরো কনবো! আমাকে কিছু বোনাস  দিবেন না!,Neutral
Emon,"আলহামদুলিল্লাহ খুবি ভালো মানের কাপর দিছে,ধন্যবাদ দারাজকে,সেলার ভালো ছিলো,",Positive
Kashem S,খুব সুন্দর হয়েছে যেটা অর্ডার দিয়েছি সেটা পাই নাই তবে যে কাপড়টা পেয়েছি সেটা  ভালোই ,Neutral
Palash S.,দাম অনুযায়ী কোয়ালিটি ঠিক আছে সেলার কে ধন্যবাদ কালার ঠিকমতো দেওয়ার জন্য,Positive
Sehab U.,"সবই ঠিক আছে  প্রিন্ট,কালার কম্বিনেশন  বেশ ভালো ছিল ",Positive
কামরুজ্জামান,"খুব সুন্দর টি-শার্ট । যেমন চেয়েছিলাম, তেমনটিই পেয়েছি। মূল্যও সাশ্রয়।",Positive
Md.Mobarak H.,একেবারে বাজে একটা গেঞ্জি এক ধোয়াতে  রং উঠে বাজে একটা কালার হয়ে গেছে।,Negative
Rabiul,একদম হালকা শীতের জন্য জ্যাকেটটি বেস্ট।  পড়ে আরাম আছে। অনেকদিন টিকবে। সেলাইও ভালো।আপনারা চাইলে নিতে পারেন ,Positive
Raju A,"দাম অনুযায়ী মোটামুটি ভালোই। প্রায় ৯দিন যাবৎ পড়তেছি, হালকা শীতের জন্য এটা পারফেক্ট।",Positive
Sadiya A,বিউটিফুল সুয়েটার। অনেক সুন্দর দেখতে। কালো কালার । সেইম কাপড় টা দেয়াতে অনেক খুশি ।,Positive
তাসমিয়া,ভাই জিনিস গুলো অনেক সুন্দর ছিল কাপড় গুলো অনেক ভালো সেলাই গুলো অনেক সুন্দর আপনারা সবাই কিনতে পারেন আর কিনে কেউ ঠকবেন না ,Positive
Abdur R.,দাম অনুযায়ী প্রোডাক্ট ভালো কিন্তু আমার কপাল খারাপ তাই এই দাগটা হাজার বার ধুয়ে  উঠানো বোধহয় আর সম্ভব হবে না,Neutral
Emon M," আমি বলব ৩০০ টাকার হিসেবে জিনিসটা অনেক ভালো, কাপড়টা পাতলা হলেও পরে আরাম আছে  ।",Positive
SUMON,কাপড়টা ভালো আছে কিন্তু পাতলা হালকা  শীতের জন্য ভালো! কিন্তু কাপড়ের দামটা অনেক বেশি আমার মনে হয় ,Neutral
Ikram A,একেবারে বাজে একটি জ্যাকেট শরীরের সাথে ফিট হচ্ছে না এবং চেন টার অবস্থা একেবারে খারাপ টাকাগুলো সব নষ্ট হয়ে গেল ...,Negative
Rakib M,ধন্যবাদ সেলার কে প্রোডাক্টটি তাড়াতাড়ি দেওয়ার জন্য প্রোডাক্টটি যেরকম চাই সেরকম পাইছি খুব ভালো সবাই নিতে পারেন।,Positive
Shakil K.,"দেখতে ছবির মতই মোটামুটি ভালো। আমি মনে করেছিলাম এটা মোটা  কাপড়ের  কিন্তু এইটা পাতলা তবে প্রচুর গরম ভিতরে এবং আরাম ধন্যবাদ দারাজ, ভাল একটা প্রডাক্টট দেয়ার জন্য।",Positive
Mahmud H.,"খুবই সুন্দর ও অসাধারণ একটি জ্যাকেট ছবিতে যেমন টা দেখিয়েছে ঠিক তেমনটাই পেয়েছি,।আমার কাছে ভালো লেগেছে চাইলে আপনারা নিতে পারেন। ",Positive
Fahad M.,দারাজ হল ফালতু  দেখাবে ভালো  জ্যাকেট কিন্তু  দিবে বাজে টা ।দয়া করে কেউ নিবেন না ঠোকবেন।দেখতে অনেক ভালো মনে হইছে কিন্তু হাতে নিয়ে দেখি পাতলা টি-শার্টের  মত।,Negative
Priyanka,"অনেক ভালো,, বাট পাতলা হালকা শীতের জন্য ঠিক যে কেউ নিতে পারেন,,যেমন চাইছি ঠিক তেমনটি পাইছি",Positive
Rukhsana P.,"এই দামে এতো ভালো একটা প্রোডাক্ট  পাবো ভাবতেই পারিনাই, আর আপনারাও চাইলে নিতে পারেন আশাকরি ঠকবেন না",Positive
Samiur R.,"একদম বাজে প্রোডাক্ট। লোকাল বাজারে এর মূল্য ২০০ টাকা ও হবে না,,, কিভাবে ১০০০টাকা এর মূল্য হতে পারে,  কেউ এই প্রোডাক্ট ক্রয় করবেন না,",Negative
Nasrin,চমৎকার জ্যাকেট। দামের তুলনায় অনেক ভালো লাগছে আমার কাছে।,Positive
Mohammad M,দাম হিসেবে জিনিসটা ভালো আছে। আপনারা চাইলে নিতে পারেন তবে আমি বাধ্য করতেছি না।,Positive
Sayed I.,"কাপড় টা একটু পাতলা ,,কিন্তু দাম হিসাবে ভালোই আছে খারাপ নাহ,,,ধন্যবাদ",Neutral
Mijanur,ধন্যবাদ দারাজ কে..এতো কম টাকায় ভালো জ্যাকেট কিনার সুযোগ করে দেওয়ার জন্য.... যেমন চেয়েছি তেমনই পেয়েছি। ঢাকার শীতের জন্য পারফেক্ট জ্যাকেট..,Positive
bikash R,কাপড় টা ভাল ছিল।কিন্তু খুব পাতলা।আরেক টু মোটা দেওয়া দরকার ছিল। পকেট ছিড়া ছিল। দেখে শুনে পাঠানো উচিত ছিল।,Neutral
Tarak A.,দাম হিসাবে ঠিকই আছে। কালার এবং কাপড় সেটাও ঠিক আছে। আপনি চাইলে অর্ডার করতে পারেন। ,Positive
Towkir A,যেমনটা অর্ডার করছি তেমনটাই  পাইছি অবশ্যই প্রোডাক্ট টা ভালো আর কাপড় টাও মোটামুটি ভালোই নিতে পারেন সবাই আশা করি ঠকবেন না ,Positive
Subas N,১০০% একুরেট পেয়েছি বলা যায়। দেখতে অনেক সুন্দর ঠিক পরতেও আরাম। দামের তুলনায় অনেক কোয়ালিটিপূর্ণ জ্যাকেট ছিল। দারাজকে অনেক অনেক ধন্যবাদ। এই  দামে পেয়ে অনেক খুশি ।,Positive
Roni,"দাম অনুযায়ী প্রোডাক্ট ঠিক আছে। কোন সমস্যা নেই, সবকিছু ঠিকঠাক মত পেয়েছি। ধন্যবাদ দারাজ এবং সেলার।",Positive
Fahim S.,আপনার যদি বাজেট কম হয় এবং হালকা শীতের জন্য নিতে চান তাহলে আমি শতভাগ গ্যারান্টি দিবো নেওয়ার জন্য।,Positive
Zisun A.,অসাধারণ একটি প্রোডাক্ট। এই দামে স্টাইলিশ ও হালকা শীত নিবারণের জন্য পারফেক্ট। ধন্যবাদ ,Positive
Suprio B,কাপড়টি একটু যদিও পাতলা তবুও দামের তুলনায় জিনিসটি অনেক ভালো।,Positive
Shafayet,"গুনগত মানের দিক থেকে পন্যটি অনেক অনেক ভালো পাইছি। কাটিং, সেলাই , কাপড় , রঙ, ফিটিং,কোনো  দিকেই কোনো প্রবলেম পাই নি। দামের দিক থেকে খুবই ভালো। ",Positive
Shahadat H.,হালকা শীতের জন্য জ্যাকেটটি খারাপ না আমি গতকালকে জ্যাকেটটি ডেলিভারি পেয়েছি ধন্যবাদ দারাজ ,Positive
Sorif K,"পোশাকটা বেশ ভালো যে রকম চেয়েছি ঠিক সেরকমই পেয়েছি। ধন্যবাদ দারাজ, ধন্যবাদ সেলার।",Positive
Mehedi H.,আলহামদুলিল্লাহ ভালো পেয়েছি ছবির সাথে মিল আছে,Positive
Saidul I.,খুবই সুন্দর একটি জ্যাকেট প্রত্যাশার চেয়েও প্রাপ্তি টা বেশি পেয়েছি। দামের তুলনায় মাল ভালো। কম দামে এমন জ্যাকেট পাওয়া প্রায় অসম্ভব। ধন্যবাদ দারাজ ,Positive
saddam,"পণ্য ভালো,,যেমন দেখা তেমনি,, কিন্তু কাপড়টা একটু পাতলা টাইপের,,প্যাকেজিং এতোটা  ভালো ছিলো না,",Neutral
Anik G.,"আপনাদের অনেক অনেক ধন্যবাদ, সময় মতো পণ্য হাতে পেয়ে, এবং সঠিক পণ্য সঠিকভাবে পেয়ে আমি অনেক খুশি,ইনশাআল্লাহ আমি আবার পণ্য অর্ডার করবো।",Positive
Suresh M.,আশা অনুরূপ প্রোডাক্টটা হাতে পেয়েছি যেমনটা ছবিতে দেওয়া ছিল একদম সেইম  আর এই দামের মধ্যে এটা আমার কাছে বেস্ট বলে মনে হয়েছে। ,Positive
Arnob S.,"স্যার আপনাদের অনেক অনেক ধন্যবাদ, সঠিক সময়ে সঠিক পণ্য দেওয়ার জন্য। ",Positive
Pavel H.,"যেমন ভেবেছি তেমনই পেয়েছি, তবে ছবিতে আরোও বেশি সুন্দর দেখাচ্ছিল  , আমি খুশি , ধন্যবাদ, সেলার অনেক ভালো। ",Positive
Shamim H,"যে কালার চেয়েছিলাম, সেটা পাইনি। দেখতে  খুব বাজে দেখায়। দয়া  করে এরপর থেকে ভালো প্রোডাক্ট দিবেন ",Negative
Minhaz,"আলহামদুলিল্লাহ যেরকম চেয়েছিলাম সেরকমই পেয়েছি, একটু চিন্তাই  ছিলাম তবে ভালো প্রোডাক্ট পেয়েছি",Positive
Monower H,"প্রত্যাশা থেকে অনেক বেশি পেয়েছি, সব কিছু মিলিয়ে অনেক ভালো লাগছে অসংখ্য ধন্যবাদ",Positive
Afshana,অনেক আশা করে অর্ডার দিলাম দাম এর চেয়ে পন্যটা অনেক খারাপ,Negative
Zahid I,অর্ডার করছি XL সাইজ  সে আমাকে দিছে L সাইজ।  আরে ভাই সাইজ না থাকে অর্ডার নিবেন না।  শুধু শুধু হয়রানি  করবেন না ,Negative
Ahmed L.,প্রোডাক্ট অর্ডার করলাম কিন্তু পাইলাম না। আবার মোবাইলে মেসেজ আসল ডেলেভারী হয়ে গেছে কিছুই বুঝলাম না।,Negative
Rasel A,জ্যাকেটের প্রিন্ট এবং কালার কোনোটাই ভালো না।  আপনারা কেউ কিনবেন না ,Negative
Rj Shaon,এতোটাও আাশা করি নাই মোটামোটি ভাল আছে সেলার খুবই আন্তরিক ছিল,Positive
Zubair K.,আমি যেমন কালার চাইছি ঠিক তেমনটি পাইছি।সেলার  অনেক ধন‍্যবাদ। অনেক ভালো মানের পন‍্য।,Positive
kulsoma A,আপনাদের কাছে চাইলাম রাজরানী আর আপনারা আমাকে পাঠিয়েছেন চুদমারানী এর মানে  বুঝলাম না । দারাজ তো অসাধু ব্যবসায়ীদের আতুর ঘর হয়ে গেছে। ,Negative
Aronno A.,"অর্ডার  ছিলো আর্মি-M টি-শার্ট ২টা, পাইছি ১টা কালার ভিন্ন , আর একটা পাবো কবে? টাকাটা ফেরত দেন। ",Negative
Masud K,অসাধারণ দেখতে।  খুবই সুন্দর যেমন দেখেছি ছবিতে ঠিক তেমনটি পেয়েছি। আপনারাও নিতে পারেন। ২দিনের মধ্যেই পেয়েছি।। সঠিক জিনিস দেওয়ার জন্য সেলার ভাইকে ধন্যবাদ,Positive
wahab,"আপনাদের শার্ট আপনাদের পুটকিতে ডুকিয়ে দেবো,, নাটক শুরু করে দিছেন,আমার টাকা ফেরত দেন  ",Negative
biplob,দারাজ থেকে অনেক জিনিস কিনেছি কিন্তু কখনো এমন হয়নি।কিনলাম এক জিনিস দিলো আরেক জিনিস। কালার সম্পূর্ণ ভিন্ন।,Negative
Masud R.,অনেক সুন্দর পন্য। শুধু কাপড়টা একটু মোটা। M সাইজ এর অর্ডার দিছিলাম একদম গায়ে ফিট হয়ে গেছে আলাদা ভাবে ফিটিং করতে হয়নি ,Positive
Gym C.,"চাইছি আর্মি কালারের শার্ট  পাঠিয়েছেন এটা কি কালার , চোখ কি আসমানে থাকে। চোখের চিকিৎসা করান, ফালতু কোথাকার",Negative
Azim A,"চোদানির  পোলারা বাটপারি করতে ব্যবসা করে। অর্ডার দিছি  একটা দিছে  আর একটা, তাও আবার পুরানো । ",Negative
Rakib H,আমি অর্ডার করছিলাম M সাইজ আমাকে দেয়া হয়েছে XL এর আগে আলাদা একটা শার্ট পাঠাইছিলো ফেরত পাঠাইছি পরবর্তী তে তো ঠিক দিতে পারতেন,Negative
Toufiq A,দয়া করে কেউ নিবেন না. সেলার ভাই এগুলো করবেন না. দিলে ভালো প্রোডাক্ট দিবেন ,Negative
Emon B.,অর্ডার করেছিলাম XL সাইজ।  আমাকে পাঠিয়েছে M সাইজ। সেলার কে বলার পরেও কোন উত্তর পাইনি। আমি রিটার্ন করে দিবো,Negative
Md.Sumon D.,দারাজের মতো।  এত পচা কোম্পানি আমি আর কখনোই দেখি নাই . চেয়েছিলাম এমসাইজ দিয়েছে Lসাইজ। দারাজ থেকে কেও কিছু কিনবেন না ,Negative
Zulfike,"বাটপার, অর্ডার দিয়েছি কি আর ডেলিভারিতে দিয়েছন কি??? যেটা অর্ডার দিয়েছি সেটা বদলাইয়া দিয়ে যান",Negative
Rifat A,হালা মাদারচুদ শার্ট  এটা চাইছি আমি দেখাস একটা দেস আর একটা,Negative
Shahriar H,ছবিতে দিয়েছে একটা আর ডেলিভারি করসে আর একটা আর কত বাটপারি করবি তোরা।,Negative
Akbor H.,কম দামের মধ্যে অনেক অনেক ভালো আপনারা  চাইলে নিতে পারেন ঠকবেন না,Positive
foysal A.,প্রোডাক্ট একটুও ভালো না ৫টা প্রোডাক্ট নিয়েছিলাম  ৫ টাই ফেরত দিয়েছি  । সেলার ভালো না  । শার্টের কাপড়ও ভালো না  ।,Negative
Shovon H.,"বাটপার ও চিটিংবাজ সেলার।। শার্ট  অর্ডার  করলাম আর্মি কালার  আর দিলো বাজে একটা শার্ট ,,বাটপার সেলার ",Negative
Abdul R.,"আপনাদের প্রোডাক্ট  মোটেও ভালো না অর্ডার দিছিলাম আর্মি কালার  আপনারা দিলেন আরেক কালার, আবার দিছিলাম M সাইজ  আপনারা দিলেন L সাইজ। খুব খারাপ",Negative
Anik,"অর্ডার দিয়েছিলাম XL কিন্তু, মনে হয় গাজা খেয়ে কাজ করেছিলো বলে  দিয়েছে M সাইজ যাইহোক এসব কাজ করার সময় সুস্থ মাথায় কাজ করতে হয়। ",Negative
Antor A.,ভাই আমার শার্ট টি XL সাইজ  দরকার XL সাইজের  জন্য  দুইবার অর্ডার করছি তারপরেও পাই নাই। সাইজ না থাকলে বলে দিয়েন হয়রানি করেন কেন ?,Negative
Asif A,মাদার বোর্ড সালা চাইছি কী আর পাইছি কি. ২ গুণ লম্বা কাপড়ের মান ও ভালো না। সালা মাদারচুদ,Negative
Nazibul B,"এই সেলার একটা বাটপার, কি কিনলাম আর কি দিলো ভোক্তা অধিকারে অভিযোগ  করতে হবে",Negative
RUBEL M,দারাজে এ কেনাকাটায় সব সময় ভালো পেয়েছি। আজকের প্রিন্ট টি ও অনেক ভালো ছিল।,Positive
zohir A.,বালের প্যান্ট দিছে মাল খাইয়া প্যান্ট দিছে ছবিতে দেখাইছে একটা দিছে আরেকটা,Negative
Anowar H,দামের তুলনায় হুডি টি ভালো ছিল। আর কোন সমস্যা নাই পণ্যটির মধ্যে। যেমন চাই ছিলাম ঐ রকমই পাইছি। ধন্যবাদ দারাজ বাংলাদেশ,Positive
Moniruzzaman,দামের তুলনায় পন্যটি ভাল তবে প্রিন্টের কোয়ালিটি আরও ভাল করা উচিত ছিল। ধন্যবাদ দারাজ,Neutral
Bashir A.,পণ্য টি খুবই বাজে।দেখাইছে একটা দিয়েছে অন্যটা। কাপড় এর কোয়ালিটি একদম ই বাজে। এটা ব্যবহার করাই যাবেনা। কেউ কিনবেন না।,Negative
marvin.m,"সাইজ আর কাপড়ের মান নিয়ে বেশ সন্দেহ ছিলো, তবে হাতে পেয়ে দুই ব্যাপারেই সন্তুষ্ট। প্রোডাক্ট যথেষ্ট ভালো...",Positive
Md.Mehedy H.,"প্রোডাক্টটি হাতে পেলাম,,বেশ ভালো।দাম অনুযায়ী ঠিক আছে। ধন্যবাদ দারাজ। এগিয়ে যায় দারাজ ",Positive
Faruk A.,"ভাল পণ্য, প্যাকেজিং ভাল, দাম ৪৫০ অনুযায়ী ঠিক আছে, এই দামে বাইরে পাওয়া যায়...একটু বেশি ছাড় দিলে অনলাইনে আস্থা বাড়ে...",Positive
Fahim K,"এই দামের মধ্যে যথেষ্ট ভালো প্রোডাক্ট । কাপড়, কালার, ডিজাইন, ডিজাইন কালার যথেষ্ট ভাল। নিঃসন্দেহে অর্ডার করা যায়। ধন্যবাদ। ",Positive
shovan,এই প্রোডাক্ট ফুটপাত থেকে মানুষ ২০০ টাকা দিয়েও কিনবে না।এত পাতলা সাধারণ গেঞ্জি কাপর এর চেয়ে মোটা আছে. মানুষের সাথে প্রতারণা করতেছে।,Negative
Shahariar R,"কোয়ালিটি ভালো,সেলারও খুবই ভালো। দাম অনুপাতে সব ঠিকঠাক ",Positive
Sabbir R,প্রোডাক্ট পেয়ে আমি খুশি। এদামে বাজারের তুলনায় অনেক ভালো প্রোডাক্ট। শীতের জন্য খুবই স্টাইলিশ।।,Positive
safayet H.,হুডিটা অনেক সুন্দর আর আরামদায়ক ছিলো।সাইজেও পারফেক্ট।সবাই কিনতে পারেন ভালো কিছু পাবেন।,Positive
Sheikh F,"অনেক অনেক ধন্যবাদ, সেলার তার কথা রেখেছে, আর এটার ওজন মোটামুটি, অনেক শীতেও পরা যাবে",Positive
Fulmala K,"দারাজ থেকে আমি যে প্রোডাক্টটি  নিয়েছি সেটা খুব ভালো প্রোডাক্ট  দিয়েছে,প্রোডাক্টটি  আমি যে রকম মনে করেছি তার থেকে অনেক ভালো দিয়েছে। দারাজকে ধন্যবাদ জানাই এত ভালো প্রোডাক্ট  দেওয়ার জন্য",Positive
monika,খুবই চমৎকার  জিনিস । এক দম সেইম টু সেইম। ধন্যবাদ  সেলার কে। সেলার ও খুব ভালো। ধন্যবাদ দারাজ . আপনারা চাইলে কিনতে পারেন।,Positive
Tamim,"মাশাল্লাহ । প্রাইজের  তুলনায় খুবই সুন্দর একটি জ্যাকেট । বর্তমান বাজারে এই টাকায় এই রকম পন্য পাওয়াটা বেশ মজার। সেলাই,কালার সবকিছুই একুরেট পেয়েছি। দারাজকে ধন্যবাদ  ",Positive
Zuban A,আলহামদুলিল্লাহ। দাম অনুযায়ী মোটামুটি ভালই প্রোডাক্ট। সেলার এবং রাইডার দুজনেরই অমায়িক ব্যবহার আমাকে অভিভূত করেছে। সেলারের আমি সাফল্য কামনা করি।,Positive
Pronab R.,"সবই ঠিক ছিল শুধুমাত্র কালার টা ছবির মতো  পাই নি, হালকা কালার দেওয়া হয়েছে। দাম অনুযায়ী পণ্য যথেষ্ট ভালো। ",Neutral
noyon K.,কালো  কালার দেখে অর্ডার করলাম। আর পাঠালেন নেভী ব্লু কালার । শুধু এই ব্যাপারে অসন্তুষ্ট। কোয়ালিটি ভালো তাই রেখে দিলাম ,Neutral
warif H,কাপড়টা আমার খুব পছন্দ হয়েছে। যেমনটি ছিলেন তেমনটি দিয়েছে সেলার কে ধন্যবাদ। দারাজ কে ধন্যবাদ খুব দ্রুত সরবরাহ করার জন্য।,Positive
Sultana K,প্রোডাক্ট টি আসলেই অনেক ভালো মানের।ধন্যবাদ দারাজ কে এই রকম ভালো মানের প্রোডাক্ট রাখার জন্য।,Positive
Sabbir R.,অনেক সুন্দর হুডিটা আর সেলার  এর ব্যবহার ও ভাল ধন্যবাদ দারাজ কে সুন্দর সার্ভিস দেয়ার  জন্য,Positive
Nijhum,"এটা আমার প্রথম অর্ডার  ছিল, আলহামদুল্লিলা অনেক ভালো হয়েছে ধন্যবাদ দারাজ  কে",Positive
SAIF,এক কথায় অসাধারণ আপনারা চাইলে নিতে পারেন খুব ভালো মানের প্রোডাক্ট,Positive
juniar J.,সময়ের আগেই ডেলিভারি পেয়েছি। ডেলিভারি ম্যান ও ছিলো খুব ভালো!,Positive
